location,latitude,longitude,timezone
Adelaide,-34.9285,138.6007,Australia/Adelaide
Albany,-35.0269,117.8837,Australia/Perth
Albury,-36.0737,146.9135,Australia/Sydney
AliceSprings,-23.6980,133.8807,Australia/Darwin
BadgerysCreek,-33.8795,150.7446,Australia/Sydney
Ballarat,-37.5622,143.8503,Australia/Melbourne
Bendigo,-36.7570,144.2794,Australia/Melbourne
Brisbane,-27.4698,153.0251,Australia/Brisbane
Cairns,-16.9186,145.7781,Australia/Brisbane
Canberra,-35.2809,149.1300,Australia/Sydney
Cobar,-31.4983,145.8344,Australia/Sydney
CoffsHarbour,-30.2963,153.1135,Australia/Sydney
Dartmoor,-37.9222,141.2767,Australia/Melbourne
Darwin,-12.4634,130.8456,Australia/Darwin
GoldCoast,-28.0167,153.4000,Australia/Brisbane
Hobart,-42.8821,147.3272,Australia/Hobart
Katherine,-14.4652,132.2635,Australia/Darwin
Launceston,-41.4332,147.1441,Australia/Hobart
Melbourne,-37.8136,144.9631,Australia/Melbourne
MelbourneAirport,-37.6690,144.8410,Australia/Melbourne
Mildura,-34.2080,142.1246,Australia/Melbourne
Moree,-29.4658,149.8339,Australia/Sydney
MountGambier,-37.8284,140.7804,Australia/Adelaide
MountGinini,-35.5294,148.7729,Australia/Sydney
Newcastle,-32.9283,151.7817,Australia/Sydney
Nhil,-36.3333,141.6500,Australia/Melbourne
NorahHead,-33.2833,151.5667,Australia/Sydney
NorfolkIsland,-29.0408,167.9547,Pacific/Norfolk
Nuriootpa,-34.4666,138.9937,Australia/Adelaide
PearceRAAF,-31.6678,116.0150,Australia/Perth
Penrith,-33.7511,150.6942,Australia/Sydney
Perth,-31.9523,115.8613,Australia/Perth
PerthAirport,-31.9403,115.9669,Australia/Perth
Portland,-38.3462,141.6026,Australia/Melbourne
Richmond,-33.6006,150.7577,Australia/Sydney
Sale,-38.1065,147.0659,Australia/Melbourne
SalmonGums,-32.9817,121.6442,Australia/Perth
Sydney,-33.8688,151.2093,Australia/Sydney
SydneyAirport,-33.9399,151.1753,Australia/Sydney
Townsville,-19.2590,146.8169,Australia/Brisbane
Tuggeranong,-35.4244,149.0888,Australia/Sydney
Uluru,-25.3444,131.0369,Australia/Darwin
WaggaWagga,-35.1082,147.3598,Australia/Sydney
Walpole,-34.9777,116.7310,Australia/Perth
Watsonia,-37.7110,145.0836,Australia/Melbourne
Williamtown,-32.7949,151.8345,Australia/Sydney
Witchcliffe,-34.0264,115.1005,Australia/Perth
Wollongong,-34.4278,150.8931,Australia/Sydney
Woomera,-31.1998,136.8259,Australia/Adelaide
